x,y
280,140
280,148
280,156
280,164
280,172
280,180
280,188
280,196
280,204
280,212
280,220
280,228
280,236
280,244
280,404
280,412
280,420
280,428
280,436
280,444
280,452
280,460
288,40
288,48
288,56
288,64
288,72
288,80
288,88
288,96
288,128
288,136
288,144
288,152
288,160
288,168
288,176
288,184
288,192
288,200
288,208
288,216
288,224
288,232
288,240
288,248
288,400
288,408
288,416
288,424
288,432
288,440
288,448
288,456
288,464
296,44
296,52
296,60
296,68
296,76
296,84
296,92
296,100
296,124
296,132
296,140
296,148
296,156
296,164
296,172
296,180
296,188
296,196
296,204
296,212
296,220
296,228
296,236
296,244
296,404
296,412
296,420
296,428
296,436
296,444
296,452
296,460
304,40
304,48
304,56
304,64
304,72
304,80
304,88
304,96
304,104
304,128
304,136
304,144
304,152
304,160
304,168
304,176
304,184
304,192
304,200
304,208
304,216
304,224
304,232
304,240
304,248
304,400
304,408
304,416
304,424
304,432
304,440
304,448
304,456
312,44
312,52
312,60
312,68
312,76
312,84
312,92
312,100
312,124
312,132
312,140
312,148
312,156
312,164
312,172
312,180
312,188
312,196
312,204
312,212
312,220
312,228
312,236
312,244
312,404
312,412
312,420
312,428
312,436
312,444
312,452
312,460
320,48
320,56
320,64
320,72
320,80
320,88
320,96
320,104
320,128
320,136
320,144
320,152
320,160
320,168
320,176
320,184
320,192
320,200
320,208
320,216
320,224
320,232
320,240
320,248
320,400
320,408
320,416
320,424
320,432
320,440
320,448
320,456
328,44
328,52
328,60
328,68
328,76
328,84
328,92
328,100
328,108
328,124
328,132
328,140
328,148
328,156
328,164
328,172
328,180
328,188
328,196
328,204
328,212
328,220
328,228
328,236
328,244
328,396
328,404
328,412
328,420
328,428
328,436
328,444
328,452
336,48
336,56
336,64
336,72
336,80
336,88
336,96
336,104
336,112
336,128
336,136
336,144
336,152
336,160
336,168
336,176
336,184
336,192
336,200
336,208
336,216
336,224
336,232
336,240
336,248
336,392
336,400
336,408
336,416
336,424
336,432
336,440
336,448
336,456
344,52
344,60
344,68
344,76
344,84
344,92
344,100
344,108
344,116
344,124
344,132
344,140
344,148
344,156
344,164
344,172
344,180
344,188
344,196
344,204
344,212
344,220
344,228
344,236
344,244
344,388
344,396
344,404
344,412
344,420
344,428
344,436
344,444
344,452
352,56
352,64
352,72
352,80
352,88
352,96
352,104
352,112
352,120
352,128
352,136
352,144
352,152
352,160
352,168
352,176
352,184
352,192
352,200
352,208
352,216
352,224
352,232
352,240
352,248
352,384
352,392
352,400
352,408
352,416
352,424
352,432
352,440
352,448
360,60
360,68
360,76
360,84
360,92
360,100
360,108
360,116
360,124
360,132
360,140
360,148
360,156
360,164
360,172
360,180
360,188
360,196
360,204
360,212
360,220
360,228
360,236
360,244
360,380
360,388
360,396
360,404
360,412
360,420
360,428
360,436
360,444
368,64
368,72
368,80
368,88
368,96
368,104
368,112
368,120
368,128
368,136
368,144
368,152
368,160
368,168
368,176
368,184
368,192
368,200
368,208
368,216
368,224
368,232
368,240
368,248
368,376
368,384
368,392
368,400
368,408
368,416
368,424
368,432
368,440
376,68
376,76
376,84
376,92
376,100
376,108
376,116
376,124
376,132
376,140
376,148
376,156
376,164
376,172
376,180
376,188
376,196
376,204
376,212
376,220
376,228
376,236
376,244
376,364
376,372
376,380
376,388
376,396
376,404
376,412
376,420
376,428
376,436
384,72
384,80
384,88
384,96
384,104
384,112
384,120
